id_c3lab,role,name,id_publicwhip,constituency,party,screen_name,screen_name_cand,screen_name_list,brexit,leave_%
395,mp,Yvette Cooper,uk.org.publicwhip/person/10131,"Normanton, Pontefract and Castleford",Labour,yvettecoopermp,,yvettecoopermp,Remain,71.04
396,mp,Ian Paisley,uk.org.publicwhip/person/13852,North Antrim,Democratic Unionist Party,ianpaisleymp,,ianpaisleymp,Leave,62.22
397,mp,Patricia Gibson,uk.org.publicwhip/person/25300,North Ayrshire and Arran,Scottish National Party,pgibsonsnp,,pgibsonsnp,Remain,#N/A
398,mp,Scott Mann,uk.org.publicwhip/person/25383,North Cornwall,Conservative,scottmannmp,cllrscottmann,"scottmannmp,cllrscottmann",Leave,59.39
399,mp,Peter Heaton-Jones,uk.org.publicwhip/person/25412,North Devon,Conservative,peternorthdevon,peternorthdevon,peternorthdevon,Remain,58.85
400,mp,Simon Hoare,uk.org.publicwhip/person/25427,North Dorset,Conservative,simon4ndorset,simon4ndorset,simon4ndorset,Remain,55.48
401,mp,Lady Sylvia Hermon,uk.org.publicwhip/person/10958,North Down,Independent,,,,Remain,47.64
402,mp,Kevan Jones,uk.org.publicwhip/person/11003,North Durham,Labour,kevanjonesmp,kevanjonesmp,kevanjonesmp,Remain,63.48
403,mp,Alistair Burt,uk.org.publicwhip/person/10770,North East Bedfordshire,Conservative,alistairburtmp,alistairburtmp,alistairburtmp,Remain,53.39
404,mp,Stephen Barclay,uk.org.publicwhip/person/24916,North East Cambridgeshire,Conservative,stevebarclaymp,stevebarclaymp,stevebarclaymp,Leave,70.03
405,mp,Natascha Engel,uk.org.publicwhip/person/11534,North East Derbyshire,Labour,,nengel4ned,nengel4ned,Unknown,62.28
406,mp,Stephen Gethins,uk.org.publicwhip/person/25324,North East Fife,Scottish National Party,stephengethins,stephengethins,stephengethins,Remain,#N/A
407,mp,Ranil Jayawardena,uk.org.publicwhip/person/25419,North East Hampshire,Conservative,tellranil,tellranil,tellranil,Leave,45.24
408,mp,Oliver Heald,uk.org.publicwhip/person/10267,North East Hertfordshire,Conservative,oliverhealdmp,oliverhealdmp,oliverhealdmp,Remain,52.63
409,mp,Jacob Rees-Mogg,uk.org.publicwhip/person/24926,North East Somerset,Conservative,,,jacobreesmogg,Leave,54.23
410,mp,Bill Wiggin,uk.org.publicwhip/person/11318,North Herefordshire,Conservative,,billwigginmp,billwigginmp,Leave,53.97
411,mp,Norman Lamb,uk.org.publicwhip/person/11032,North Norfolk,Liberal Democrat,normanlamb,normanlamb,normanlamb,Remain,60.85
412,mp,Owen Paterson,uk.org.publicwhip/person/10473,North Shropshire,Conservative,owen_patersonmp,owen_patersonmp,owen_patersonmp,Leave,60.46
413,mp,Liam Fox,uk.org.publicwhip/person/10213,North Somerset,Conservative,liamfoxmp,liamfoxmp,liamfoxmp,Leave,49.25
414,mp,Justin Tomlinson,uk.org.publicwhip/person/24870,North Swindon,Conservative,jtomlinsonmp,jtomlinsonmp,jtomlinsonmp,Leave,61.89
415,mp,Roger Gale,uk.org.publicwhip/person/10217,North Thanet,Conservative,,,,Remain,62.98
416,mp,Mary Glindon,uk.org.publicwhip/person/24927,North Tyneside,Labour,,,,Remain,62.16
417,mp,Craig Tracey,uk.org.publicwhip/person/25290,North Warwickshire,Conservative,craig4nwarks,craig4nwarks,craig4nwarks,Leave,69
418,mp,Shailesh Vara,uk.org.publicwhip/person/11475,North West Cambridgeshire,Conservative,,,,Remain,56.87
419,mp,Pat Glass,uk.org.publicwhip/person/24917,North West Durham,Labour,patglassmp,patglassmp,patglassmp,Remain,58.68
420,mp,Kit Malthouse,uk.org.publicwhip/person/25346,North West Hampshire,Conservative,kitmalthouse,kitmalthouse,kitmalthouse,Leave,56.62
421,mp,Andrew Bridgen,uk.org.publicwhip/person/24741,North West Leicestershire,Conservative,andrewbridgenmp,andrewbridgenmp,andrewbridgenmp,Leave,61.52
422,mp,Henry Bellingham,uk.org.publicwhip/person/10726,North West Norfolk,Conservative,,,,Leave,64.5
423,mp,James Gray,uk.org.publicwhip/person/10240,North Wiltshire,Conservative,jamesgraymp,jamesgraymp,jamesgraymp,Leave,50.92
424,mp,Michael Ellis,uk.org.publicwhip/person/24866,Northampton North,Conservative,michael_ellis1,michael_ellis1,michael_ellis1,Remain,58.13
425,mp,David Mackintosh,uk.org.publicwhip/person/25347,Northampton South,Conservative,davidmackintosh,davidmackintosh,davidmackintosh,Remain,57.29
426,mp,Chloe Smith,uk.org.publicwhip/person/24691,Norwich North,Conservative,norwichchloe,norwichchloe,norwichchloe,Remain,61.99
427,mp,Clive Lewis,uk.org.publicwhip/person/25356,Norwich South,Labour,labourlewis,labourlewis,labourlewis,Remain,42.25
428,mp,Chris Leslie,uk.org.publicwhip/person/10354,Nottingham East,Labour,chrislesliemp,chrislesliemp,chrislesliemp,Remain,43.34
429,mp,Graham Allen,uk.org.publicwhip/person/10008,Nottingham North,Labour,grahamallenmp,grahamallenmp,grahamallenmp,Remain,64.92
430,mp,Lilian Greenwood,uk.org.publicwhip/person/24774,Nottingham South,Labour,liliangreenwood,liliangreenwood,liliangreenwood,Remain,44.17
431,mp,Marcus Jones,uk.org.publicwhip/person/24745,Nuneaton,Conservative,marcus4nuneaton,marcus4nuneaton,marcus4nuneaton,Remain,65.76
432,mp,Tasmina Ahmed-Sheikh,uk.org.publicwhip/person/25274,Ochil and South Perthshire,Scottish National Party,tasminasheikh,tasminasheikh,tasminasheikh,Remain,#N/A
433,mp,Chris Elmore,uk.org.publicwhip/person/25490,Ogmore,Labour,cpjelmore,,cpjelmore,Remain,61.29
652,mp,Huw Irranca-Davies,uk.org.publicwhip/person/11347,Ogmore,Labour,huw4ogmore,irrancadaviesmp,"huw4ogmore,irrancadaviesmp",Remain,61.29
434,mp,James Brokenshire,uk.org.publicwhip/person/11640,Old Bexley and Sidcup,Conservative,jbrokenshire,jbrokenshire,jbrokenshire,Remain,64.27
435,mp,Debbie Abrahams,uk.org.publicwhip/person/25034,Oldham East and Saddleworth,Labour,debbie_abrahams,debbie_abrahams,debbie_abrahams,Remain,56.93
436,mp,Jim McMahon,uk.org.publicwhip/person/25475,Oldham West and Royton,Labour,jimfromoldham,,jimfromoldham,Remain,62.32
653,mp,Michael Meacher,uk.org.publicwhip/person/10427,Oldham West and Royton,Labour,,michaelmeacher,michaelmeacher,Unknown,62.32
437,mp,Alistair Carmichael,uk.org.publicwhip/person/10785,Orkney and Shetland,Liberal Democrat,acarmichaelmp,acarmichaelmp,acarmichaelmp,Remain,40
438,mp,Joseph Johnson,uk.org.publicwhip/person/24895,Orpington,Conservative,jojohnsonmp,jojohnsonmp,jojohnsonmp,Remain,58.19
439,mp,Andrew Smith,uk.org.publicwhip/person/10545,Oxford East,Labour,andrewsmithmp,andrewsmithmp,andrewsmithmp,Remain,35.67
440,mp,Nicola Blackwood,uk.org.publicwhip/person/24842,Oxford West and Abingdon,Conservative,nicolablackwood,nicolablackwood,nicolablackwood,Remain,39.03
441,mp,Gavin Newlands,uk.org.publicwhip/person/25291,Paisley and Renfrewshire North,Scottish National Party,gavinnewlandsmp,gavnewlandssnp,"gavinnewlandsmp,gavnewlandssnp",Remain,#N/A
442,mp,Mhairi Black,uk.org.publicwhip/person/25269,Paisley and Renfrewshire South,Scottish National Party,mhairiblack,mhairi1921,"mhairiblack,mhairi1921",Remain,#N/A
443,mp,Andrew Stephenson,uk.org.publicwhip/person/24759,Pendle,Conservative,andrew4pendle,andrew4pendle,andrew4pendle,Leave,58.11
444,mp,Angela Smith,uk.org.publicwhip/person/11814,Penistone and Stocksbridge,Labour,angelasmithmp,angelasmithmp,angelasmithmp,Remain,61.26
445,mp,Rory Stewart,uk.org.publicwhip/person/24964,Penrith and The Border,Conservative,rorystewartuk,rorystewartuk,rorystewartuk,Remain,55.38
446,mp,Pete Wishart,uk.org.publicwhip/person/11333,Perth and North Perthshire,Scottish National Party,petewishart,petewishart,petewishart,Remain,#N/A
447,mp,Stewart Jackson,uk.org.publicwhip/person/11759,Peterborough,Conservative,stewart4pboro,stewart4pboro,stewart4pboro,Leave,63.37
448,mp,Johnny Mercer,uk.org.publicwhip/person/25367,"Plymouth, Moor View",Conservative,johnnymercermp,,johnnymercermp,Remain,65.46
449,mp,Oliver Colvile,uk.org.publicwhip/person/24898,"Plymouth, Sutton and Devonport",Conservative,olivercolvile,,olivercolvile,Remain,46.75
450,mp,Owen Smith,uk.org.publicwhip/person/24797,Pontypridd,Labour,owensmith_mp,owensmithmp,"owensmith_mp,owensmithmp",Remain,50.3
451,mp,Robert Syms,uk.org.publicwhip/person/10582,Poole,Conservative,robertsymsmp,robertsymsmp,robertsymsmp,Leave,56.68
452,mp,Jim Fitzpatrick,uk.org.publicwhip/person/10199,Poplar and Limehouse,Labour,fitzmp,fitzmp,fitzmp,Remain,34.07
453,mp,Penny Mordaunt,uk.org.publicwhip/person/24938,Portsmouth North,Conservative,pennymordauntmp,pennymordauntmp,pennymordauntmp,Leave,61.34
454,mp,Mrs Flick Drummond,uk.org.publicwhip/person/25392,Portsmouth South,Conservative,flickd,flickd,flickd,Remain,44.92
455,mp,Stephen Crabb,uk.org.publicwhip/person/11768,Preseli Pembrokeshire,Conservative,scrabbmp,scrabb2015,"scrabbmp,scrabb2015",Remain,51.21
456,mp,Mark Hendrick,uk.org.publicwhip/person/10682,Preston,Labour,mphendrick,mphendrick,mphendrick,Remain,53.67
457,mp,Stuart Andrew,uk.org.publicwhip/person/24864,Pudsey,Conservative,stuartandrew,stuartandrew,stuartandrew,Leave,50.97
458,mp,Justine Greening,uk.org.publicwhip/person/11771,Putney,Conservative,justinegreening,justinegreening,justinegreening,Remain,24.9
459,mp,Mark Francois,uk.org.publicwhip/person/10901,Rayleigh and Wickford,Conservative,,,,Leave,66.35
460,mp,Rob Wilson,uk.org.publicwhip/person/11773,Reading East,Conservative,robwilson_rdg,robwilson_rdg,robwilson_rdg,Remain,38.34
461,mp,Alok Sharma,uk.org.publicwhip/person/24902,Reading West,Conservative,aloksharma_rdg,aloksharma_rdg,aloksharma_rdg,Remain,53.8
462,mp,Anna Turley,uk.org.publicwhip/person/25313,Redcar,Labour,annaturley,annaturley,annaturley,Remain,66.27
463,mp,Karen Lumley,uk.org.publicwhip/person/24856,Redditch,Conservative,tell_karen,tell_karen,tell_karen,Leave,63.62
464,mp,Crispin Blunt,uk.org.publicwhip/person/10051,Reigate,Conservative,crispinbluntmp,crispinbluntmp,crispinbluntmp,Leave,46.24
465,mp,Chris Bryant,uk.org.publicwhip/person/10761,Rhondda,Labour,rhonddabryant,chrisbryantmp,"rhonddabryant,chrisbryantmp",Remain,64.34
466,mp,Nigel Evans,uk.org.publicwhip/person/10190,Ribble Valley,Conservative,,electnigel,electnigel,Leave,52.04
467,mp,Rishi Sunak,uk.org.publicwhip/person/25428,Richmond (Yorks),Conservative,,,,Leave,53.37
468,mp,Zac Goldsmith,uk.org.publicwhip/person/24911,Richmond Park,Conservative,zacgoldsmith,zacgoldsmith,zacgoldsmith,Leave,23.39
469,mp,Simon Danczuk,uk.org.publicwhip/person/24808,Rochdale,Independent,simondanczuk,,simondanczuk,Remain,57.02
470,mp,Kelly Tolhurst,uk.org.publicwhip/person/25430,Rochester and Strood,Conservative,kellytolhurst,kellytolhurst,kellytolhurst,Remain,61.95
471,mp,James Duddridge,uk.org.publicwhip/person/11785,Rochford and Southend East,Conservative,jamesduddridge,jamesduddridge,jamesduddridge,Leave,61.59
472,mp,Andrew Rosindell,uk.org.publicwhip/person/11199,Romford,Conservative,andrewrosindell,andrewrosindell,andrewrosindell,Leave,65.55
473,mp,Caroline Nokes,uk.org.publicwhip/person/24809,Romsey and Southampton North,Conservative,carolinenokes,carolinenokes,carolinenokes,Remain,46.32
474,mp,Ian Blackford,uk.org.publicwhip/person/25361,"Ross, Skye and Lochaber",Scottish National Party,iblackfordsnpmp,,iblackfordsnpmp,Remain,#N/A
475,mp,Jake Berry,uk.org.publicwhip/person/24860,Rossendale and Darwen,Conservative,jakeberry,jakeberry,jakeberry,Remain,55.11
476,mp,Kevin Barron,uk.org.publicwhip/person/10027,Rother Valley,Labour,kevinbarronmp,kevinbarronmp,kevinbarronmp,Remain,64.64
477,mp,Sarah Champion,uk.org.publicwhip/person/25168,Rotherham,Labour,sarahchampionmp,sarahchampionmp,sarahchampionmp,Remain,66.26
478,mp,Mark Pawsey,uk.org.publicwhip/person/24880,Rugby,Conservative,markpawsey,markpawsey,markpawsey,Remain,60.3
479,mp,Nick Hurd,uk.org.publicwhip/person/11792,"Ruislip, Northwood and Pinner",Conservative,nickhurdmp,,nickhurdmp,Remain,45.91
480,mp,Philip Hammond,uk.org.publicwhip/person/10257,Runnymede and Weybridge,Conservative,phammondmp,phammondmp,phammondmp,Remain,47.69
481,mp,Kenneth Clarke,uk.org.publicwhip/person/10115,Rushcliffe,Conservative,,,,Remain,43.12
482,mp,Margaret Ferrier,uk.org.publicwhip/person/25287,Rutherglen and Hamilton West,Scottish National Party,margaretferrier,mgtferriersnp,"margaretferrier,mgtferriersnp",Remain,#N/A
483,mp,Alan Duncan,uk.org.publicwhip/person/10179,Rutland and Melton,Conservative,alanduncanmp,alanduncanmp,alanduncanmp,Remain,55.12
484,mp,Alan Haselhurst,uk.org.publicwhip/person/10263,Saffron Walden,Conservative,,,,Remain,52.45
485,mp,Rebecca Long Bailey,uk.org.publicwhip/person/25368,Salford and Eccles,Labour,rlong_bailey,rlong_bailey,rlong_bailey,Remain,51.34
486,mp,John Glen,uk.org.publicwhip/person/24839,Salisbury,Conservative,johnglenmp,johnglenmp,johnglenmp,Remain,50.45
487,mp,Robert Goodwill,uk.org.publicwhip/person/11804,Scarborough and Whitby,Conservative,,,,Remain,60.47
488,mp,Nic Dakin,uk.org.publicwhip/person/24798,Scunthorpe,Labour,nicdakinmp,nicdakinmp,nicdakinmp,Remain,66.9
489,mp,Phil Wilson,uk.org.publicwhip/person/13933,Sedgefield,Labour,philwilsonmp,philwilsonmp,philwilsonmp,Remain,62.35
490,mp,Bill Esterson,uk.org.publicwhip/person/24905,Sefton Central,Labour,bill_esterson,billestersonmp,"bill_esterson,billestersonmp",Remain,52.04
491,mp,Nigel Adams,uk.org.publicwhip/person/24878,Selby and Ainsty,Conservative,,,,Leave,57.78
492,mp,Michael Fallon,uk.org.publicwhip/person/10194,Sevenoaks,Conservative,,,,Remain,51.99
494,mp,Paul Blomfield,uk.org.publicwhip/person/24943,Sheffield Central,Labour,paulblomfieldmp,paulblomfieldmp,paulblomfieldmp,Remain,30.19
497,mp,Clive Betts,uk.org.publicwhip/person/10045,Sheffield South East,Labour,,clivebettsmp,clivebettsmp,Remain,66.87
493,mp,Gill Furniss,uk.org.publicwhip/person/25489,"Sheffield, Brightside and Hillsborough",Labour,gillfurnissmp,,gillfurnissmp,Remain,60.86
651,mp,Harry Harpham,uk.org.publicwhip/person/25369,"Sheffield, Brightside and Hillsborough",Labour,,harry4bh,harry4bh,Unknown,60.86
495,mp,Nick Clegg,uk.org.publicwhip/person/11812,"Sheffield, Hallam",Liberal Democrat,nick_clegg,,nick_clegg,Remain,34.67
496,mp,Louise Haigh,uk.org.publicwhip/person/25357,"Sheffield, Heeley",Labour,louhaigh,,louhaigh,Remain,57.72
498,mp,Mark Spencer,uk.org.publicwhip/person/24909,Sherwood,Conservative,mark_spencer,mark_spencer,mark_spencer,Remain,63.98
499,mp,Philip Davies,uk.org.publicwhip/person/11816,Shipley,Conservative,philipdaviesmp,philipdaviesmp,philipdaviesmp,Leave,51.08
500,mp,Daniel Kawczynski,uk.org.publicwhip/person/11817,Shrewsbury and Atcham,Conservative,kawczynskimp,daniel4shrews,"kawczynskimp,daniel4shrews",Leave,53.73
501,mp,Gordon Henderson,uk.org.publicwhip/person/24828,Sittingbourne and Sheppey,Conservative,,,,Leave,67.81
502,mp,Julian Smith,uk.org.publicwhip/person/24961,Skipton and Ripon,Conservative,juliansmithmp,juliansmithmp,juliansmithmp,Remain,52.64
503,mp,Stephen Phillips,uk.org.publicwhip/person/24836,Sleaford and North Hykeham,Conservative,,,,Leave,58.32
504,mp,Fiona Mactaggart,uk.org.publicwhip/person/10402,Slough,Labour,fionamacmp,fionamacmp,fionamacmp,Remain,51.81
505,mp,Julian Knight,uk.org.publicwhip/person/25388,Solihull,Conservative,julianknight15,julianknight15,julianknight15,Remain,56.66
506,mp,David Warburton,uk.org.publicwhip/person/25372,Somerton and Frome,Conservative,djwarburton,djwarburton,djwarburton,Leave,53.53
507,mp,Danny Kinahan,uk.org.publicwhip/person/24684,South Antrim,Ulster Unionist Party,ddebk,,ddebk,Remain,50.64
508,mp,Stephen Metcalfe,uk.org.publicwhip/person/24749,South Basildon and East Thurrock,Conservative,metcalfe_sbet,metcalfe_sbet,metcalfe_sbet,Leave,67.46
509,mp,Heidi Allen,uk.org.publicwhip/person/25348,South Cambridgeshire,Conservative,heidiallen75,heidiallen75,heidiallen75,Remain,42.06
510,mp,Heather Wheeler,uk.org.publicwhip/person/24769,South Derbyshire,Conservative,heatherwheeler,heatherwheeler,heatherwheeler,Leave,59.08
511,mp,Richard Drax,uk.org.publicwhip/person/24903,South Dorset,Conservative,,richarddrax_mp,richarddrax_mp,Leave,57.87
512,mp,Margaret Ritchie,uk.org.publicwhip/person/13856,South Down,Social Democratic and Labour Party,mritchiemp,,mritchiemp,Remain,32.76
513,mp,Lucy Frazer,uk.org.publicwhip/person/25399,South East Cambridgeshire,Conservative,,,lucyfrazermp,Remain,50.08
514,mp,Mrs Sheryll Murray,uk.org.publicwhip/person/24875,South East Cornwall,Conservative,sheryllmurray,sheryllmurray,sheryllmurray,Leave,55.73
515,mp,John Hayes,uk.org.publicwhip/person/10265,South Holland and The Deepings,Conservative,,,,Leave,71.07
516,mp,Alberto Costa,uk.org.publicwhip/person/25413,South Leicestershire,Conservative,albertocostamp,,albertocostamp,Remain,59.6
