id_c3lab,role,name,id_publicwhip,constituency,party,screen_name,screen_name_cand,screen_name_list,brexit,leave_%
535,mp,Anne Main,uk.org.publicwhip/person/11798,St Albans,Conservative,,,,Leave,35.66
536,mp,Steve Double,uk.org.publicwhip/person/25410,St Austell and Newquay,Conservative,stevedouble,stevedouble,stevedouble,Leave,63.31
537,mp,Conor McGinn,uk.org.publicwhip/person/25423,St Helens North,Labour,conormcginn,conormcginn,conormcginn,Remain,59.36
538,mp,Marie Rimmer,uk.org.publicwhip/person/25321,St Helens South and Whiston,Labour,marierimmermp,marieerimmer,"marierimmermp,marieerimmer",Remain,58.71
539,mp,Derek Thomas,uk.org.publicwhip/person/25440,St Ives,Conservative,derekthomasmp,,derekthomasmp,Leave,53.75
540,mp,Jeremy Lefroy,uk.org.publicwhip/person/24760,Stafford,Conservative,jeremylefroymp,jeremylefroymp,jeremylefroymp,Remain,54.59
541,mp,Karen Bradley,uk.org.publicwhip/person/24725,Staffordshire Moorlands,Conservative,,karen__bradley,karen__bradley,Remain,64.18
542,mp,Jonathan Reynolds,uk.org.publicwhip/person/24929,Stalybridge and Hyde,Labour,jreynoldsmp,jreynoldsmp,jreynoldsmp,Remain,61.07
543,mp,Stephen McPartland,uk.org.publicwhip/person/24888,Stevenage,Conservative,smcpartlandmp,smcpartlandmp,smcpartlandmp,Leave,57.49
544,mp,Steven Paterson,uk.org.publicwhip/person/25296,Stirling,Scottish National Party,steven4stirling,steven4stirling,steven4stirling,Remain,#N/A
545,mp,Ann Coffey,uk.org.publicwhip/person/10122,Stockport,Labour,anncoffey_mp,anncoffey_mp,anncoffey_mp,Remain,50.65
546,mp,Alex Cunningham,uk.org.publicwhip/person/24742,Stockton North,Labour,acunninghammp,acunninghammp,acunninghammp,Remain,62.44
547,mp,James Wharton,uk.org.publicwhip/person/24930,Stockton South,Conservative,jameswhartonuk,jameswhartonuk,jameswhartonuk,Leave,54.39
548,mp,Tristram Hunt,uk.org.publicwhip/person/24850,Stoke-on-Trent Central,Labour,tristramhuntmp,tristramhuntmp,tristramhuntmp,Remain,62.58
549,mp,Ruth Smeeth,uk.org.publicwhip/person/25435,Stoke-on-Trent North,Labour,ruthsmeeth,ruthsmeeth,ruthsmeeth,Remain,71.29
550,mp,Robert Flello,uk.org.publicwhip/person/11843,Stoke-on-Trent South,Labour,robflellomp,robflellomp,robflellomp,Remain,69.84
551,mp,William Cash,uk.org.publicwhip/person/10095,Stone,Conservative,billcashmp,billcashmp,billcashmp,Remain,56.63
552,mp,Margot James,uk.org.publicwhip/person/24876,Stourbridge,Conservative,margot_james_mp,margotjames2015,"margot_james_mp,margotjames2015",Remain,62.98
553,mp,Jim Shannon,uk.org.publicwhip/person/13864,Strangford,Democratic Unionist Party,,,jimshannonmp,Leave,55.53
554,mp,Nadhim Zahawi,uk.org.publicwhip/person/24822,Stratford-on-Avon,Conservative,nadhimzahawi,,nadhimzahawi,Leave,53.54
555,mp,Chuka Umunna,uk.org.publicwhip/person/24950,Streatham,Labour,chukaumunna,chukaumunna,chukaumunna,Remain,28.57
556,mp,Kate Green,uk.org.publicwhip/person/24896,Stretford and Urmston,Labour,kategreensu,kategreensu,kategreensu,Remain,52.94
557,mp,Neil Carmichael,uk.org.publicwhip/person/24840,Stroud,Conservative,stroud_neil,stroud_neil,stroud_neil,Remain,48.63
558,mp,Thérèse Coffey,uk.org.publicwhip/person/24771,Suffolk Coastal,Conservative,theresecoffey,theresecoffey,theresecoffey,Remain,56.52
559,mp,Julie Elliott,uk.org.publicwhip/person/24710,Sunderland Central,Labour,julieelliottmp,julieelliottmp,julieelliottmp,Remain,57.24
560,mp,Michael Gove,uk.org.publicwhip/person/11858,Surrey Heath,Conservative,,sirmichaelgove,sirmichaelgove,Leave,50.87
562,mp,Paul Scully,uk.org.publicwhip/person/25331,Sutton and Cheam,Conservative,scullyp,scullyp,scullyp,Leave,50.75
561,mp,Andrew Mitchell,uk.org.publicwhip/person/11115,Sutton Coldfield,Conservative,,,,Remain,50.31
563,mp,Carolyn Harris,uk.org.publicwhip/person/25308,Swansea East,Labour,carolynharris24,carolynharris24,carolynharris24,Remain,58.96
564,mp,Geraint Davies,uk.org.publicwhip/person/10159,Swansea West,Labour,geraintdaviesmp,geraintdaviesmp,geraintdaviesmp,Remain,41.33
565,mp,Christopher Pincher,uk.org.publicwhip/person/24747,Tamworth,Conservative,chrispincher,chrispincher,chrispincher,Leave,66.46
566,mp,George Osborne,uk.org.publicwhip/person/11145,Tatton,Conservative,george_osborne,george_osborne,george_osborne,Remain,46.3
567,mp,Rebecca Pow,uk.org.publicwhip/person/25407,Taunton Deane,Conservative,pow_rebecca,pow_rebecca,pow_rebecca,Remain,52.51
568,mp,Lucy Allan,uk.org.publicwhip/person/25337,Telford,Conservative,lucyallan,lucyallan,lucyallan,Leave,66.51
569,mp,Laurence Robertson,uk.org.publicwhip/person/10505,Tewkesbury,Conservative,lrobertsonmp,,lrobertsonmp,Leave,52.38
570,mp,Geoffrey Clifton-Brown,uk.org.publicwhip/person/10119,The Cotswolds,Conservative,,,,Leave,47.58
571,mp,Mark Pritchard,uk.org.publicwhip/person/11946,The Wrekin,Conservative,mpritchardmp,mpritchardmp,mpritchardmp,Remain,59.63
572,mp,Kevin Hollinrake,uk.org.publicwhip/person/25415,Thirsk and Malton,Conservative,kevinhollinrake,kevinhollinrake,kevinhollinrake,Remain,57.83
573,mp,Luke Hall,uk.org.publicwhip/person/25373,Thornbury and Yate,Conservative,,,lukehallmp,Remain,55.97
574,mp,Jackie Doyle-Price,uk.org.publicwhip/person/24957,Thurrock,Conservative,jackiedp,jackiedp,jackiedp,Remain,62
575,mp,Neil Parish,uk.org.publicwhip/person/24779,Tiverton and Honiton,Conservative,,,neil_parish,Remain,58.13
576,mp,Tom Tugendhat,uk.org.publicwhip/person/25374,Tonbridge and Malling,Conservative,tomtugendhat,tomtugendhat,tomtugendhat,Remain,53.73
650,mp,Rosena Allin-Khan,uk.org.publicwhip/person/25579,Tooting,Labour,drrosena,,drrosena,Remain,22.75
654,mp,Sadiq Khan,uk.org.publicwhip/person/11878,Tooting,Labour,sadiqkhan,,sadiqkhan,Remain,22.75
577,mp,Kevin Foster,uk.org.publicwhip/person/25338,Torbay,Conservative,kevin_j_foster,,kevin_j_foster,Remain,59.85
578,mp,Nick Thomas-Symonds,uk.org.publicwhip/person/25279,Torfaen,Labour,nicktorfaenmp,nthomassymonds,"nicktorfaenmp,nthomassymonds",Remain,58.33
579,mp,Geoffrey Cox,uk.org.publicwhip/person/11541,Torridge and West Devon,Conservative,geoffrey_cox,geoffrey_cox,geoffrey_cox,Leave,56.92
580,mp,Sarah Wollaston,uk.org.publicwhip/person/24761,Totnes,Conservative,sarahwollaston,sarahwollaston,sarahwollaston,Remain,52.44
581,mp,David Lammy,uk.org.publicwhip/person/10678,Tottenham,Labour,davidlammy,davidlammy,davidlammy,Remain,45.02
582,mp,Sarah Newton,uk.org.publicwhip/person/24948,Truro and Falmouth,Conservative,sarahnewtonmp,sarahnewtonmp,sarahnewtonmp,Remain,45.91
583,mp,Greg Clark,uk.org.publicwhip/person/11884,Tunbridge Wells,Conservative,gregclarkmp,gregclarkmp,gregclarkmp,Remain,46.25
584,mp,Tania Mathias,uk.org.publicwhip/person/25333,Twickenham,Conservative,tania_mathias,tania_mathias,tania_mathias,Remain,29.28
585,mp,Alan Campbell,uk.org.publicwhip/person/10086,Tynemouth,Labour,alancampbellmp,alancampbellmp,alancampbellmp,Remain,51.7
586,mp,David Simpson,uk.org.publicwhip/person/11892,Upper Bann,Democratic Unionist Party,davidsimpsondup,,davidsimpsondup,Leave,52.62
587,mp,Boris Johnson,uk.org.publicwhip/person/10999,Uxbridge and South Ruislip,Conservative,borisjohnson,mayoroflondon,"borisjohnson,mayoroflondon",Leave,52.65
588,mp,James Davies,uk.org.publicwhip/person/25292,Vale of Clwyd,Conservative,jamesdaviesmp,jamesdavies4mp,"jamesdaviesmp,jamesdavies4mp",Leave,54.63
589,mp,Alun Cairns,uk.org.publicwhip/person/24740,Vale of Glamorgan,Conservative,aluncairns,aluncairns,aluncairns,Remain,51.02
590,mp,Kate Hoey,uk.org.publicwhip/person/10282,Vauxhall,Labour,katehoeymp,katehoeymp,katehoeymp,Leave,25.57
591,mp,Mary Creagh,uk.org.publicwhip/person/11898,Wakefield,Labour,marycreaghmp,mary4wakefield,"marycreaghmp,mary4wakefield",Remain,62.65
592,mp,Angela Eagle,uk.org.publicwhip/person/10182,Wallasey,Labour,angelaeagle,angelaeagle,angelaeagle,Remain,58.03
593,mp,David Winnick,uk.org.publicwhip/person/10645,Walsall North,Labour,,,,Remain,70.12
594,mp,Valerie Vaz,uk.org.publicwhip/person/24852,Walsall South,Labour,valerie_vazmp,valerie_vazmp,valerie_vazmp,Remain,61.44
595,mp,Stella Creasy,uk.org.publicwhip/person/24949,Walthamstow,Labour,stellacreasy,stellacreasy,stellacreasy,Remain,43.98
596,mp,Ian Lavery,uk.org.publicwhip/person/24963,Wansbeck,Labour,ianlaverymp,ianlaverymp,ianlaverymp,Remain,59.43
597,mp,Edward Vaizey,uk.org.publicwhip/person/11905,Wantage,Conservative,edvaizey,edvaizey,edvaizey,Remain,49.48
598,mp,John Spellar,uk.org.publicwhip/person/10558,Warley,Labour,spellar,spellar,spellar,Unknown,60.93
599,mp,Helen Jones,uk.org.publicwhip/person/10319,Warrington North,Labour,helenjonesmp,helenjonesmp,helenjonesmp,Remain,57.29
600,mp,David Mowat,uk.org.publicwhip/person/24932,Warrington South,Conservative,mowat4ws,mowat4ws,mowat4ws,Remain,49.82
601,mp,Chris White,uk.org.publicwhip/person/24959,Warwick and Leamington,Conservative,chriswhite_mp,chriswhite_mp,chriswhite_mp,Remain,44.36
602,mp,Mrs Sharon Hodgson,uk.org.publicwhip/person/11592,Washington and Sunderland West,Labour,sharonhodgsonmp,sharonhodgsonmp,sharonhodgsonmp,Remain,65.91
603,mp,Richard Harrington,uk.org.publicwhip/person/24954,Watford,Conservative,richard4watford,richard4watford,richard4watford,Remain,47.61
604,mp,Peter Aldous,uk.org.publicwhip/person/24904,Waveney,Conservative,peter_aldous,peter_aldous,peter_aldous,Remain,66.37
605,mp,Nusrat Ghani,uk.org.publicwhip/person/25354,Wealden,Conservative,nus_ghani,nus_ghani,nus_ghani,Leave,52.63
606,mp,Graham Evans,uk.org.publicwhip/person/24883,Weaver Vale,Conservative,grahamevansmp,grahamevans,"grahamevansmp,grahamevans",Remain,54.13
607,mp,Peter Bone,uk.org.publicwhip/person/11915,Wellingborough,Conservative,peterbonemp,peterbonemp,peterbonemp,Leave,64.19
608,mp,James Heappey,uk.org.publicwhip/person/25438,Wells,Conservative,jsheappey,jsheappey,jsheappey,Remain,56.12
609,mp,Grant Shapps,uk.org.publicwhip/person/11917,Welwyn Hatfield,Conservative,grantshapps,grantshapps,grantshapps,Remain,47.17
610,mp,John Healey,uk.org.publicwhip/person/10268,Wentworth and Dearne,Labour,johnhealey_mp,johnhealey_mp,johnhealey_mp,Remain,68.48
611,mp,Stuart Donaldson,uk.org.publicwhip/person/25425,West Aberdeenshire and Kincardine,Scottish National Party,stuiedonaldson,studonaldsonsnp,"stuiedonaldson,studonaldsonsnp",Remain,#N/A
612,mp,Tom Watson,uk.org.publicwhip/person/11309,West Bromwich East,Labour,tom_watson,tom_watson,tom_watson,Remain,66.99
613,mp,Adrian Bailey,uk.org.publicwhip/person/10683,West Bromwich West,Labour,adrianbailey4mp,adrian_bailey,"adrianbailey4mp,adrian_bailey",Remain,68.55
614,mp,Oliver Letwin,uk.org.publicwhip/person/10355,West Dorset,Conservative,oliverletwinmp,oliverletwinmp,oliverletwinmp,Remain,51.45
615,mp,Martin John Docherty,uk.org.publicwhip/person/25275,West Dunbartonshire,Scottish National Party,martinjdocherty,martinjdocherty,martinjdocherty,Remain,#N/A
616,mp,Lyn Brown,uk.org.publicwhip/person/11921,West Ham,Labour,lynbrownmp,lynbrownmp,lynbrownmp,Remain,43.25
617,mp,Rosie Cooper,uk.org.publicwhip/person/11667,West Lancashire,Labour,rosie4westlancs,rosie4westlancs,rosie4westlancs,Remain,53.27
618,mp,Matthew Hancock,uk.org.publicwhip/person/24773,West Suffolk,Conservative,matthancockmp,matthancockmp,matthancockmp,Remain,65.27
619,mp,Pat Doherty,uk.org.publicwhip/person/10858,West Tyrone,Sinn Fein,patdohertymp,,patdohertymp,Remain,33.15
620,mp,Harriett Baldwin,uk.org.publicwhip/person/24785,West Worcestershire,Conservative,hbaldwinmp,harriettbaldwin,"hbaldwinmp,harriettbaldwin",Remain,52.44
621,mp,Karen Buck,uk.org.publicwhip/person/10075,Westminster North,Labour,karenpbuckmp,karenpbuckmp,karenpbuckmp,Remain,30.03
622,mp,Tim Farron,uk.org.publicwhip/person/11923,Westmorland and Lonsdale,Liberal Democrat,timfarron,timfarron,timfarron,Remain,48.1
623,mp,John Penrose,uk.org.publicwhip/person/11924,Weston-super-Mare,Conservative,johnpenrosenews,,johnpenrosenews,Remain,58.42
624,mp,Lisa Nandy,uk.org.publicwhip/person/24831,Wigan,Labour,lisanandy,lisanandy,lisanandy,Remain,59.84
625,mp,Stephen Hammond,uk.org.publicwhip/person/11927,Wimbledon,Conservative,s_hammond,s_hammond,s_hammond,Remain,27.07
626,mp,Steve Brine,uk.org.publicwhip/person/24901,Winchester,Conservative,sbrine,sbrine,sbrine,Remain,40.31
627,mp,Adam Afriyie,uk.org.publicwhip/person/11929,Windsor,Conservative,adamafriyie,adamafriyie,adamafriyie,Leave,45.8
628,mp,Alison McGovern,uk.org.publicwhip/person/24897,Wirral South,Labour,alison_mcgovern,alison_mcgovern,alison_mcgovern,Remain,51.85
629,mp,Margaret Greenwood,uk.org.publicwhip/person/25349,Wirral West,Labour,mgreenwoodww,mgreenwoodww,mgreenwoodww,Remain,48.99
630,mp,Priti Patel,uk.org.publicwhip/person/24778,Witham,Conservative,patel4witham,pritipatelmp,"patel4witham,pritipatelmp",Leave,60.31
631,mp,David Cameron,uk.org.publicwhip/person/10777,Witney,Conservative,david_cameron,david_cameron,david_cameron,Remain,50.19
632,mp,Jonathan Lord,uk.org.publicwhip/person/24884,Woking,Conservative,,,jonathanlordmp,Leave,43.94
633,mp,John Redwood,uk.org.publicwhip/person/10499,Wokingham,Conservative,johnredwood,johnredwood,johnredwood,Leave,43.04
634,mp,Emma Reynolds,uk.org.publicwhip/person/24868,Wolverhampton North East,Labour,emmareynoldsmp,emmareynoldsmp,emmareynoldsmp,Remain,65.01
635,mp,Pat McFadden,uk.org.publicwhip/person/11936,Wolverhampton South East,Labour,patmcfaddenmp,patmcfaddenmp,patmcfaddenmp,Remain,66.66
636,mp,Rob Marris,uk.org.publicwhip/person/11095,Wolverhampton South West,Labour,wsw_labour,wsw_labour,wsw_labour,Remain,50.83
637,mp,Robin Walker,uk.org.publicwhip/person/24862,Worcester,Conservative,walkerworcester,robinwalkermp,"walkerworcester,robinwalkermp",Remain,52.65
638,mp,Sue Hayman,uk.org.publicwhip/person/25358,Workington,Labour,suehayman1,suehayman1,suehayman1,Remain,62.67
639,mp,Barbara Keeley,uk.org.publicwhip/person/11943,Worsley and Eccles South,Labour,keeleymp,keeleymp,keeleymp,Remain,59.18
640,mp,Peter Bottomley,uk.org.publicwhip/person/10057,Worthing West,Conservative,,pbottomleymp,pbottomleymp,Remain,58.83
641,mp,Ian C. Lucas,uk.org.publicwhip/person/11057,Wrexham,Labour,ianclucas,ianclucas,ianclucas,Remain,54.65
642,mp,Steven Baker,uk.org.publicwhip/person/24786,Wycombe,Conservative,stevebakerhw,stevebakerhw,stevebakerhw,Leave,48.44
644,mp,Ben Wallace,uk.org.publicwhip/person/11668,Wyre and Preston North,Conservative,bwallacemp,bwallacemp,bwallacemp,Remain,51.57
643,mp,Mark Garnier,uk.org.publicwhip/person/24824,Wyre Forest,Conservative,mark4wyreforest,mark4wyreforest,mark4wyreforest,Remain,64.01
645,mp,Mike Kane,uk.org.publicwhip/person/25220,Wythenshawe and Sale East,Labour,mikekanemp,mikekanemp,mikekanemp,Remain,53.47
646,mp,Marcus Fysh,uk.org.publicwhip/person/25384,Yeovil,Conservative,marcusfysh,marcusfysh,marcusfysh,Leave,61.72
647,mp,Albert Owen,uk.org.publicwhip/person/11148,Ynys Môn,Labour,albertowenmp,albertowenmp,albertowenmp,Remain,52.97
648,mp,Rachael Maskell,uk.org.publicwhip/person/25433,York Central,Labour,rachaelmaskell,rachaelmaskell,rachaelmaskell,Remain,42.61
649,mp,Julian Sturdy,uk.org.publicwhip/person/24853,York Outer,Conservative,,juliansturdy,juliansturdy,Leave,50.82
1,mep,Afzal Khan,,North West,Labour,akhanmep,,akhanmep,Remain,
2,mep,Alyn Smith,,Scotland,Scottish National Party,alynsmithmep,,alynsmithmep,Remain,
3,mep,Amjad Bashir,,Yorkshire and the Humber,Conservative,amjadbashirmep,,amjadbashirmep,Leave,
4,mep,Andrew Lewer,,East Midlands,Conservative,alewermep,,alewermep,Leave,
5,mep,Anneliese Dodds,,South East,Labour,anneliesedodds,,anneliesedodds,Remain,
6,mep,Anthea Mcintyre,,West Midlands,Conservative,anthea_mcintyre,,anthea_mcintyre,Remain,
7,mep,Ashley Fox,,South West,Conservative,ashleyfoxmep,,ashleyfoxmep,Remain,
8,mep,Bill Etheridge,,West Midlands,United Kingdom Independence Party,billdudleynorth,,billdudleynorth,Leave,
9,mep,Catherine Bearder,,South East,Liberal Democrat,catherinemep,,catherinemep,Remain,
10,mep,Catherine Stihler,,Scotland,Labour,c_stihler_mep,,c_stihler_mep,Remain,
11,mep,Charles Tannock,,London,Conservative,charlestannock,,charlestannock,Remain,
12,mep,Clare Moody,,South West,Labour,claremoodymep,,claremoodymep,Remain,
13,mep,Claude Moraes,,London,Labour,claudemoraesmep,,claudemoraesmep,Remain,
14,mep,Daniel Dalton,,West Midlands,Conservative,ddalton40,,ddalton40,Remain,
15,mep,Daniel Hannan,,South East,Conservative,danieljhannan,,danieljhannan,Leave,
16,mep,David Campbell Bannerman,,Eastern,Conservative,dcbmep,,dcbmep,Leave,
17,mep,David Coburn,,Scotland,United Kingdom Independence Party,davidcoburnukip,,davidcoburnukip,Leave,
18,mep,David Martin,,Scotland,Labour,davidmartinmep,,davidmartinmep,Remain,
19,mep,Derek Vaughan,,Wales,Labour,derekvaughan,,derekvaughan,Remain,
20,mep,Diane Dodds,,Northern Ireland,Democratic Unionist Party,dianedoddsmep,,dianedoddsmep,Leave,
21,mep,Diane James,,South East,United Kingdom Independence Party,dianejamesmep,,dianejamesmep,Leave,
22,mep,Emma Mcclarkin,,East Midlands,Conservative,emmamcclarkin,,emmamcclarkin,Leave,
23,mep,Geoffrey Van Orden,,Eastern,Conservative,gvomep,,gvomep,Unknown,
24,mep,Gerard Batten,,London,United Kingdom Independence Party,gerardbattenmep,,gerardbattenmep,Leave,
25,mep,Glenis Willmott,,East Midlands,Labour,gleniswillmott,,gleniswillmott,Remain,
26,mep,Ian Duncan,,Scotland,Conservative,ianduncanmep,,ianduncanmep,Remain,
27,mep,Ian Hudghton,,Scotland,Scottish National Party,hudghtonmepsnp,,hudghtonmepsnp,Remain,
28,mep,Jacqueline Foster,,North West,Conservative,jfostermep,,jfostermep,Unknown,
29,mep,James Carver,,West Midlands,United Kingdom Independence Party,jamesjimcarver,,jamesjimcarver,Leave,
30,mep,James Nicholson,,Northern Ireland,Ulster Unionist Party,jnicholsonmep,,jnicholsonmep,Unknown,
31,mep,Jane Collins,,Yorkshire & North Lincs,United Kingdom Independence Party,jane_collinsmep,,jane_collinsmep,Leave,
32,mep,Janice Atkinson,,South East,United Kingdom Independence Party,janice4brexit,,janice4brexit,Leave,
33,mep,Jean Lambert,,London,Green Party,greenjeanmep,,greenjeanmep,Remain,
34,mep,Jill Evans,,Wales,Plaid Cymru,jillevansmep,,jillevansmep,Remain,
35,mep,Jill Seymour,,West Midlands,United Kingdom Independence Party,jseymourukip,,jseymourukip,Leave,
36,mep,John Stuart Agnew,,Eastern,United Kingdom Independence Party,,,,Leave,
37,mep,Jonathan Arnott,,North East,United Kingdom Independence Party,jonathanarnott,,jonathanarnott,Leave,
38,mep,Jude Kirton-Darling,,North East,Labour,jude_kd,,jude_kd,Remain,
39,mep,Julia Reid,,South West,United Kingdom Independence Party,julia_reid,,julia_reid,Leave,
40,mep,Julie Girling,,South West,Conservative,juliegirling,,juliegirling,Remain,
41,mep,Julie Ward,,North West,Labour,julie4nw,,julie4nw,Remain,
42,mep,Kay Swinburne,,Wales,Conservative,kayswinburnemep,,kayswinburnemep,Remain,
43,mep,Keith Taylor,,South East,Green Party,greenkeithmep,,greenkeithmep,Remain,
44,mep,Linda Mcavan,,Yorkshire & the Humber,Labour,lindamcavanmep,,lindamcavanmep,Remain,
45,mep,Louise Bours,,North West,United Kingdom Independence Party,,,,Leave,
46,mep,Lucy Anderson,,London,Labour,lucyandersonmep,,lucyandersonmep,Remain,
47,mep,Margot Parker,,East Midlands,United Kingdom Independence Party,margotljparker,,margotljparker,Leave,
48,mep,Martina Anderson,,Northern Ireland,Sinn Fein,m_andersonsf,,m_andersonsf,Remain,
49,mep,Mary Honeyball,,London,Labour,maryhoneyball,,maryhoneyball,Remain,
50,mep,Mike Hookem,,Yorkshire & North Lincs,United Kingdom Independence Party,mikehookemmep,,mikehookemmep,Leave,
51,mep,Molly Scott Cato,,South West & Gibraltar,Green Party,mollymep,,mollymep,Remain,
52,mep,Nathan Gill,,Wales,United Kingdom Independence Party,nathangillmep,,nathangillmep,Leave,
53,mep,Neena Gill,,West Midlands,Labour,neenagmep,,neenagmep,Remain,
54,mep,Nigel Farage,,South East,United Kingdom Independence Party,nigel_farage,,nigel_farage,Leave,
55,mep,Nirj Deva,,South East,Conservative,nirjdeva,,nirjdeva,Unknown,
56,mep,Patrick O'Flynn,,Eastern,United Kingdom Independence Party,oflynnmep,,oflynnmep,Leave,
57,mep,Paul Brannen,,North East,Labour,paulbrannenne,,paulbrannenne,Remain,
58,mep,Paul Nuttall,,North West,United Kingdom Independence Party,paulnuttallukip,,paulnuttallukip,Leave,
59,mep,Raymond Finch,,South East,United Kingdom Independence Party,raymondfinch,,raymondfinch,Leave,
60,mep,Richard Ashworth,,South East,Conservative,richardashmep,,richardashmep,Remain,
61,mep,Richard Corbett,,Yorkshire & the Humber,Labour,rcorbettmep,,rcorbettmep,Remain,
62,mep,Richard Howitt,,East of England,Labour,richardhowitt,,richardhowitt,Remain,
63,mep,Roger Helmer,,East Midlands,United Kingdom Independence Party,rogerhelmermep,,rogerhelmermep,Leave,
64,mep,Sajjad Karim,,North West,Conservative,shkmep,,shkmep,Remain,
65,mep,Seb Dance,,London,Labour,sebdance,,sebdance,Remain,
66,mep,Siôn Simon,,West Midlands,Labour,sionsimon,,sionsimon,Remain,
67,mep,Steven Woolfe,,North West,United Kingdom Independence Party,steven_woolfe,,steven_woolfe,Leave,
68,mep,Syed Kamall,,London,Conservative,syedkamall,,syedkamall,Unknown,
69,mep,Theresa Griffin,,North West,Labour,theresamep,,theresamep,Remain,
70,mep,Tim Aker,,Eastern,United Kingdom Independence Party,tim_aker,,tim_aker,Leave,
71,mep,Timothy Kirkhope,,Yorkshire & the Humber,Conservative,timkirkhopemep,,timkirkhopemep,Remain,
72,mep,Vicky Ford,,Eastern,Conservative,vickyford,,vickyford,Remain,
73,mep,William Dartmouth,,South West,United Kingdom Independence Party,,,,Leave,
